Ticker,Gate_Passed,Return_Type,Original_E_Ret,E_Total_3M,Realized_3M,Gap,Adj_Weight,Vol_3M,Adjustment,Adjusted_E_Total,Adjustment_Applied
HSY,False,CAPM,0.0093,0.0093,0.182439,0.173139,1.9044,0.086414,0.164568,0.173869,True
ROK,False,CAPM,0.033106,0.033106,0.051611,0.018505,0.0257,0.143906,0.003696,0.036802,True
CCL,False,CAPM,0.036392,0.036392,0.190629,0.154237,1.5999,0.244608,0.391339,0.427731,True
ROP,False,CAPM,0.023864,0.023864,-0.276729,0.300592,2.9352,0.096501,-0.283253,-0.259389,True
UAL,True,Grinold-Kahn,-0.090135,-0.065442,0.203693,0.269135,2.8438,0.233474,0.663942,0.5985,True
EME,True,Grinold-Kahn,0.070646,0.095339,0.335321,0.239982,2.681,0.203343,0.545155,0.640493,True
WDAY,True,Grinold-Kahn,0.006238,0.030931,-0.490847,0.521778,3.0,0.113529,-0.340587,-0.309656,True
KMB,False,CAPM,0.008205,0.008205,0.047938,0.039733,0.1183,0.097676,0.011559,0.019764,True
OTIS,False,CAPM,0.011219,0.011219,0.055615,0.044396,0.1477,0.058214,0.008598,0.019817,True
PRU,False,CAPM,0.025979,0.025979,-0.018024,0.044004,0.1451,0.0806,-0.011696,0.014283,True
KVUE,False,CAPM,0.011169,0.011169,0.129202,0.118033,1.0046,0.147939,0.148617,0.159786,True
A,False,CAPM,0.024865,0.024865,-0.205777,0.230642,2.6077,0.161934,-0.42227,-0.397405,True
MTB,False,CAPM,0.022267,0.022267,0.217265,0.194998,2.2202,0.121573,0.269912,0.292179,True
STT,False,CAPM,0.027734,0.027734,0.118742,0.091009,0.6125,0.119813,0.073381,0.101115,True
ACGL,False,CAPM,0.009284,0.009284,0.063179,0.053894,0.2175,0.049017,0.010659,0.019944,True
CPRT,False,CAPM,0.020864,0.020864,-0.110201,0.131065,1.2146,0.09564,-0.116163,-0.095299,True
WEC,False,CAPM,0.007953,0.007953,0.036778,0.028825,0.0623,0.056998,0.003551,0.011505,True
AXON,False,CAPM,0.027703,0.027703,-0.184811,0.212514,2.4321,0.222214,-0.540444,-0.512741,True
TPL,False,CAPM,0.02833,0.02833,0.516413,0.488083,3.0,0.162797,0.488384,0.516714,True
TTWO,True,Grinold-Kahn,0.003709,0.028402,-0.164667,0.193069,2.1944,0.087396,-0.191783,-0.163381,True
HBAN,True,Grinold-Kahn,0.007176,0.031869,0.134637,0.102769,0.7742,0.122936,0.095177,0.127046,True
IR,False,CAPM,0.026913,0.026913,0.196565,0.169652,1.8499,0.128295,0.23733,0.264243,True
HIG,True,Grinold-Kahn,0.019964,0.044656,0.045594,0.000938,0.0001,0.044499,3e-06,0.044659,False
RMD,True,Grinold-Kahn,-0.037201,-0.012508,0.035149,0.047657,0.1702,0.104038,0.017703,0.005194,True
PCG,False,CAPM,0.012033,0.012033,0.161541,0.149508,1.5213,0.132429,0.201464,0.213497,True
VMC,True,Grinold-Kahn,0.009323,0.034016,0.058892,0.024876,0.0464,0.094101,0.004367,0.038383,True
KDP,False,CAPM,0.011383,0.011383,0.071115,0.059732,0.2669,0.115827,0.030913,0.042296,True
MSCI,True,Grinold-Kahn,-0.003362,0.021331,-0.028399,0.04973,0.1852,0.058145,-0.010771,0.01056,True
EBAY,False,CAPM,0.023938,0.023938,0.089182,0.065244,0.3181,0.123477,0.039273,0.063211,True
ED,False,CAPM,0.002218,0.002218,0.099808,0.09759,0.7011,0.085701,0.060084,0.062302,True
DDOG,True,Grinold-Kahn,0.017845,0.042537,-0.309088,0.351625,2.9876,0.267957,-0.800555,-0.758018,True
LVS,True,Grinold-Kahn,-0.029996,-0.005303,-0.097896,0.092593,0.6333,0.207578,-0.131466,-0.13677,True
GEHC,False,CAPM,0.023787,0.023787,0.097311,0.073525,0.403,0.136438,0.054983,0.07877,True
PYPL,False,CAPM,0.032615,0.032615,-0.374498,0.407113,2.9985,0.160203,-0.480366,-0.447752,True
CCI,True,Grinold-Kahn,-0.032526,-0.007833,-0.010715,0.002882,0.0006,0.091738,-5.7e-05,-0.007891,True
LYV,False,CAPM,0.022793,0.022793,0.219355,0.196562,2.2407,0.122001,0.273369,0.296162,True
EQT,False,CAPM,0.019263,0.019263,0.061881,0.042618,0.1361,0.092761,0.012627,0.03189,True
NRG,True,Grinold-Kahn,-0.003849,0.020844,0.121346,0.100503,0.7419,0.200849,0.149001,0.169845,True
KHC,False,CAPM,0.012284,0.012284,-0.020078,0.032362,0.0785,0.05527,-0.00434,0.007944,True
CBOE,False,CAPM,0.004629,0.004629,0.133512,0.128883,1.1788,0.044785,0.052793,0.057422,True
DTE,False,CAPM,0.008904,0.008904,0.074787,0.065884,0.3243,0.05618,0.018218,0.027122,True
ATO,False,CAPM,0.009954,0.009954,0.038357,0.028403,0.0605,0.050523,0.003056,0.01301,True
ROL,False,CAPM,0.018044,0.018044,0.017097,0.000946,0.0001,0.051435,3e-06,0.018047,False
HAL,False,CAPM,0.025657,0.025657,0.313674,0.288017,2.9067,0.190031,0.552358,0.578015,True
CHTR,False,CAPM,0.020765,0.020765,0.125569,0.104803,0.8037,0.207526,0.166785,0.18755,True
FE,False,CAPM,0.008962,0.008962,0.077726,0.068764,0.353,0.049665,0.017531,0.026493,True
JBL,True,Grinold-Kahn,-0.026258,-0.001565,0.321085,0.322651,2.9673,0.189887,0.563444,0.561879,True
LEN,False,CAPM,0.017478,0.017478,-0.051483,0.068961,0.355,0.144206,-0.051193,-0.033715,True
WTW,False,CAPM,0.010654,0.010654,-0.040172,0.050825,0.1935,0.065928,-0.012755,-0.002102,True
HPE,True,Grinold-Kahn,0.070223,0.094916,0.046584,0.048332,0.175,0.227104,0.039743,0.134659,True
